numords,totdol,last,buy
7,493,207,1
4,423,625,0
4,246,28,0
3,271,778,0
2,148,396,0
10,937,6,0
7,562,38,0
1,156,759,0
1,59,604,0
1,34,7,0
6,627,71,0
5,379,568,0
2,75,505,0
1,44,101,0
14,386,620,1
10,404,312,1
2,114,1094,0
11,756,22,0
1,104,366,0
22,1282,15,0
6,259,213,0
6,425,235,1
2,118,709,0
1,29,919,0
3,198,602,0
1,39,426,0
1,204,417,0
8,432,102,0
2,164,785,0
7,439,197,0
1,89,757,0
1,99,725,0
1,35,616,0
1,119,486,0
2,113,354,0
1,17,114,0
1,109,18,0
8,257,456,0
25,1782,353,1
4,424,626,0
3,777,723,0
1,299,11,0
2,78,602,0
3,223,28,0
1,121,142,0
9,451,127,0
10,333,23,0
2,158,352,0
30,2462,64,0
15,717,39,0
16,1110,8,0
1,120,1096,0
2,218,591,0
4,317,367,0
1,99,169,0
25,1594,23,0
5,405,21,0
3,190,1099,0
6,370,855,1
18,899,15,0
1,79,991,0
2,337,837,0
1,129,752,0
4,278,368,0
1,149,438,0
2,128,378,0
1,75,737,0
1,58,351,0
2,78,270,0
1,49,36,0
15,707,485,1
2,78,1029,0
4,236,98,0
19,1263,577,1
3,187,28,0
3,210,659,0
1,49,983,0
2,73,450,0
1,17,847,0
1,139,193,0
5,520,373,0
2,118,955,0
2,51,660,0
1,488,1093,0
1,161,485,0
1,139,51,0
15,993,20,0
35,3422,1,0
1,109,184,0
1,39,431,0
2,128,368,0
1,99,93,0
4,574,1011,0
11,543,168,0
27,874,7,0
2,238,135,0
2,78,9,0
1,159,988,0
1,199,401,0
8,959,172,0
1,59,905,0
2,120,10,0
2,58,415,0
1,29,599,0
3,154,67,0
1,99,493,0
6,262,249,0
5,687,49,0
5,148,11,0
9,1103,85,0
3,132,1022,0
5,510,1113,0
4,303,604,0
2,273,1012,0
1,139,389,0
1,152,835,0
3,113,66,0
2,98,430,0
1,19,371,0
1,216,483,0
42,2851,210,1
14,625,93,0
49,4212,17,0
4,152,371,0
2,83,492,0
1,32,395,0
1,119,247,0
4,236,528,0
2,83,1115,0
6,339,345,1
42,1689,74,0
4,208,497,0
17,381,11,0
8,729,24,0
2,238,921,0
1,279,1101,0
2,216,735,0
6,479,25,0
1,49,934,0
8,1229,108,0
1,86,749,0
1,199,746,0
2,298,59,0
1,114,661,0
1,53,310,0
2,188,261,0
1,159,157,0
17,732,149,0
7,524,690,1
8,940,32,0
2,474,1089,0
1,19,1089,0
4,719,114,0
1,12,193,0
47,1049,38,0
27,3326,193,0
15,1194,1017,1
8,340,287,1
16,654,95,0
3,252,67,0
3,241,185,0
1,19,868,0
1,29,723,0
3,252,35,0
1,134,478,0
1,44,350,0
1,24,18,0
6,919,1,0
2,36,946,0
5,445,660,0
3,356,297,0
4,317,203,0
1,19,394,0
1,44,339,0
1,79,260,0
6,492,749,1
4,384,107,0
8,873,191,0
8,243,121,0
3,281,21,0
1,83,227,0
1,59,1025,0
15,930,108,0
5,324,102,0
1,161,759,0
1,99,396,0
14,647,337,1
2,258,745,0
1,35,806,0
35,1012,39,0
10,1095,130,0
4,152,220,0
8,748,365,1
2,78,210,0
3,92,721,0
2,193,926,0
3,167,588,0
12,641,393,1
10,1603,805,1
5,371,225,0
2,188,837,0
4,289,298,0
3,466,756,0
7,193,22,0
10,586,14,0
1,149,675,0
9,422,29,0
7,1784,366,1
2,71,996,0
8,1281,1003,1
22,1733,177,0
3,115,65,0
2,138,11,0
3,217,647,0
4,333,67,0
10,566,25,0
8,506,865,1
5,445,294,0
2,88,487,0
5,1087,1031,0
6,792,46,0
1,124,1102,0
2,50,724,0
8,1178,595,1
1,269,997,0
2,161,624,0
6,865,339,1
1,71,848,0
10,380,33,0
1,189,788,0
1,59,770,0
1,19,732,0
1,269,724,0
5,665,393,0
11,1170,11,0
7,403,17,0
1,59,567,0
5,545,291,0
2,193,382,0
